"result_date","affil_category","test_type","test_result","test_count","test_source"
2020-08-04,Employee,Antigen,Negative,5,Campus Health
2020-08-04,Employee,Antigen,Positive,0,Campus Health
2020-08-04,Employee,Antigen,Negative,1,Test All Test Smart
2020-08-04,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-04,Off-Campus Student,Antigen,Negative,9,Campus Health
2020-08-04,Off-Campus Student,Antigen,Positive,1,Campus Health
2020-08-04,Off-Campus Student,PCR,Negative,0,Campus Health
2020-08-04,Off-Campus Student,PCR,Positive,1,Campus Health
2020-08-04,On-Campus Student,Antigen,Negative,77,Test All Test Smart
2020-08-04,On-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-05,Employee,Antigen,Negative,4,Campus Health
2020-08-05,Employee,Antigen,Positive,0,Campus Health
2020-08-05,Employee,Antigen,Negative,1,Test All Test Smart
2020-08-05,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-05,Off-Campus Student,Antigen,Negative,5,Campus Health
2020-08-05,Off-Campus Student,Antigen,Positive,0,Campus Health
2020-08-05,Off-Campus Student,PCR,Negative,1,Campus Health
2020-08-05,Off-Campus Student,PCR,Positive,0,Campus Health
2020-08-05,On-Campus Student,Antigen,Negative,168,Test All Test Smart
2020-08-05,On-Campus Student,Antigen,Positive,1,Test All Test Smart
2020-08-06,Employee,Antigen,Negative,3,Campus Health
2020-08-06,Employee,Antigen,Positive,0,Campus Health
2020-08-06,Employee,PCR,Negative,0,Campus Health
2020-08-06,Employee,PCR,Positive,1,Campus Health
2020-08-06,Off-Campus Student,Antigen,Negative,8,Campus Health
2020-08-06,Off-Campus Student,Antigen,Positive,0,Campus Health
2020-08-06,Off-Campus Student,PCR,Negative,1,Campus Health
2020-08-06,Off-Campus Student,PCR,Positive,0,Campus Health
2020-08-07,Employee,Antigen,Negative,6,Campus Health
2020-08-07,Employee,Antigen,Positive,0,Campus Health
2020-08-07,Employee,PCR,Negative,4,Campus Health
2020-08-07,Employee,PCR,Positive,0,Campus Health
2020-08-07,Employee,Antigen,Negative,3,Test All Test Smart
2020-08-07,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-07,Off-Campus Student,Antigen,Negative,7,Campus Health
2020-08-07,Off-Campus Student,Antigen,Positive,0,Campus Health
2020-08-07,Off-Campus Student,PCR,Negative,8,Campus Health
2020-08-07,Off-Campus Student,PCR,Positive,0,Campus Health
2020-08-07,Off-Campus Student,Antigen,Negative,72,Test All Test Smart
2020-08-07,Off-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-07,On-Campus Student,Antigen,Negative,26,Test All Test Smart
2020-08-07,On-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-09,Employee,PCR,Negative,1,Campus Health
2020-08-09,Employee,PCR,Positive,0,Campus Health
2020-08-09,Off-Campus Student,PCR,Negative,4,Campus Health
2020-08-09,Off-Campus Student,PCR,Positive,0,Campus Health
2020-08-10,Employee,Antigen,Negative,3,Campus Health
2020-08-10,Employee,Antigen,Positive,0,Campus Health
2020-08-10,Employee,Antigen,Negative,7,Test All Test Smart
2020-08-10,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-10,Off-Campus Student,Antigen,Negative,356,Test All Test Smart
2020-08-10,Off-Campus Student,Antigen,Positive,1,Test All Test Smart
2020-08-10,On-Campus Student,Antigen,Negative,49,Test All Test Smart
2020-08-10,On-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-11,Employee,Antigen,Negative,5,Campus Health
2020-08-11,Employee,Antigen,Positive,0,Campus Health
2020-08-11,Employee,Antigen,Negative,5,Test All Test Smart
2020-08-11,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-11,Off-Campus Student,Antibody,Negative,2,Campus Health
2020-08-11,Off-Campus Student,Antibody,Positive,0,Campus Health
2020-08-11,Off-Campus Student,Antigen,Negative,7,Campus Health
2020-08-11,Off-Campus Student,Antigen,Positive,0,Campus Health
2020-08-11,Off-Campus Student,Antigen,Negative,238,Test All Test Smart
2020-08-11,Off-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-11,On-Campus Student,Antigen,Negative,16,Test All Test Smart
2020-08-11,On-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-12,Employee,Antigen,Negative,2,Campus Health
2020-08-12,Employee,Antigen,Positive,0,Campus Health
2020-08-12,Employee,Antigen,Negative,3,Test All Test Smart
2020-08-12,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-12,Off-Campus Student,Antigen,Negative,5,Campus Health
2020-08-12,Off-Campus Student,Antigen,Positive,0,Campus Health
2020-08-12,Off-Campus Student,PCR,Negative,2,Campus Health
2020-08-12,Off-Campus Student,PCR,Positive,0,Campus Health
2020-08-12,Off-Campus Student,Antigen,Negative,190,Test All Test Smart
2020-08-12,Off-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-12,On-Campus Student,Antigen,Negative,11,Test All Test Smart
2020-08-12,On-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-13,Employee,Antigen,Negative,7,Campus Health
2020-08-13,Employee,Antigen,Positive,0,Campus Health
2020-08-13,Employee,PCR,Negative,2,Campus Health
2020-08-13,Employee,PCR,Positive,0,Campus Health
2020-08-13,Employee,Antigen,Negative,1,Test All Test Smart
2020-08-13,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-13,Off-Campus Student,Antigen,Negative,2,Campus Health
2020-08-13,Off-Campus Student,Antigen,Positive,1,Campus Health
2020-08-13,Off-Campus Student,PCR,Negative,5,Campus Health
2020-08-13,Off-Campus Student,PCR,Positive,1,Campus Health
2020-08-13,Off-Campus Student,Antigen,Negative,141,Test All Test Smart
2020-08-13,Off-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-13,On-Campus Student,Antigen,Negative,1,Campus Health
2020-08-13,On-Campus Student,Antigen,Positive,0,Campus Health
2020-08-13,On-Campus Student,Antigen,Negative,17,Test All Test Smart
2020-08-13,On-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-14,Employee,Antigen,Negative,2,Campus Health
2020-08-14,Employee,Antigen,Positive,0,Campus Health
2020-08-14,Employee,Antigen,Negative,4,Test All Test Smart
2020-08-14,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-14,Off-Campus Student,Antigen,Negative,5,Campus Health
2020-08-14,Off-Campus Student,Antigen,Positive,1,Campus Health
2020-08-14,Off-Campus Student,Antigen,Negative,160,Test All Test Smart
2020-08-14,Off-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-14,On-Campus Student,Antigen,Negative,293,Test All Test Smart
2020-08-14,On-Campus Student,Antigen,Positive,1,Test All Test Smart
2020-08-15,Employee,PCR,Negative,2,Campus Health
2020-08-15,Employee,PCR,Positive,0,Campus Health
2020-08-15,Employee,Antigen,Negative,4,Test All Test Smart
2020-08-15,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-15,Off-Campus Student,Antigen,Negative,87,Test All Test Smart
2020-08-15,Off-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-15,On-Campus Student,Antigen,Negative,1,Campus Health
2020-08-15,On-Campus Student,Antigen,Positive,0,Campus Health
2020-08-15,On-Campus Student,Antigen,Negative,573,Test All Test Smart
2020-08-15,On-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-16,Employee,PCR,Negative,2,Campus Health
2020-08-16,Employee,PCR,Positive,0,Campus Health
2020-08-16,Employee,Antigen,Negative,1,Test All Test Smart
2020-08-16,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-16,Off-Campus Student,PCR,Negative,3,Campus Health
2020-08-16,Off-Campus Student,PCR,Positive,0,Campus Health
2020-08-16,Off-Campus Student,Antigen,Negative,1,Test All Test Smart
2020-08-16,Off-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-16,On-Campus Student,Antigen,Negative,329,Test All Test Smart
2020-08-16,On-Campus Student,Antigen,Positive,2,Test All Test Smart
2020-08-17,Employee,Antigen,Negative,3,Campus Health
2020-08-17,Employee,Antigen,Positive,0,Campus Health
2020-08-17,Employee,Antigen,Negative,10,Test All Test Smart
2020-08-17,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-17,Off-Campus Student,Antigen,Negative,8,Campus Health
2020-08-17,Off-Campus Student,Antigen,Positive,0,Campus Health
2020-08-17,Off-Campus Student,Antigen,Negative,399,Test All Test Smart
2020-08-17,Off-Campus Student,Antigen,Positive,1,Test All Test Smart
2020-08-17,On-Campus Student,Antigen,Negative,283,Test All Test Smart
2020-08-17,On-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-18,Employee,Antigen,Negative,1,Campus Health
2020-08-18,Employee,Antigen,Positive,0,Campus Health
2020-08-18,Employee,Antigen,Negative,5,Test All Test Smart
2020-08-18,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-18,Off-Campus Student,Antigen,Negative,4,Campus Health
2020-08-18,Off-Campus Student,Antigen,Positive,1,Campus Health
2020-08-18,Off-Campus Student,Antigen,Negative,328,Test All Test Smart
2020-08-18,Off-Campus Student,Antigen,Positive,2,Test All Test Smart
2020-08-18,On-Campus Student,Antigen,Negative,289,Test All Test Smart
2020-08-18,On-Campus Student,Antigen,Positive,1,Test All Test Smart
2020-08-19,Employee,Antigen,Negative,3,Campus Health
2020-08-19,Employee,Antigen,Positive,0,Campus Health
2020-08-19,Employee,PCR,Negative,3,Campus Health
2020-08-19,Employee,PCR,Positive,0,Campus Health
2020-08-19,Employee,Antigen,Negative,2,Test All Test Smart
2020-08-19,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-19,Off-Campus Student,Antigen,Negative,6,Campus Health
2020-08-19,Off-Campus Student,Antigen,Positive,2,Campus Health
2020-08-19,Off-Campus Student,PCR,Negative,3,Campus Health
2020-08-19,Off-Campus Student,PCR,Positive,0,Campus Health
2020-08-19,Off-Campus Student,Antigen,Negative,298,Test All Test Smart
2020-08-19,Off-Campus Student,Antigen,Positive,4,Test All Test Smart
2020-08-19,On-Campus Student,Antigen,Negative,1,Campus Health
2020-08-19,On-Campus Student,Antigen,Positive,0,Campus Health
2020-08-19,On-Campus Student,Antigen,Negative,751,Test All Test Smart
2020-08-19,On-Campus Student,Antigen,Positive,3,Test All Test Smart
2020-08-20,Employee,Antigen,Negative,3,Campus Health
