Date,Group,Sap_Flow,TWaterFlux,pLWP,mLWP
10/4/19,Drought-sensitive canopy,184.0409754,82.24329213,-0.26337811,-0.679768985
10/4/19,Drought-sensitive understory,2.475988635,1.258050022,-0.299668845,-0.761326415
10/4/19,Drought-tolerant canopy,10.59894932,4.4054792,-0.437556311,-0.72255722
10/4/19,Drought-tolerant understory,4.399853986,2.055275861,-0.205223662,-0.702858115
10/5/19,Drought-sensitive canopy,182.9054438,95.86525501,-0.276927955,-0.708261036
10/5/19,Drought-sensitive understory,2.459209022,1.22579233,-0.320598016,-0.792857635
10/5/19,Drought-tolerant canopy,10.48479611,5.211921522,-0.471931782,-0.760979964
10/5/19,Drought-tolerant understory,4.442562651,2.023018168,-0.217037195,-0.756746795
10/6/19,Drought-sensitive canopy,181.5132781,92.66713517,-0.289259269,-0.736243746
10/6/19,Drought-sensitive understory,2.435851469,1.433163212,-0.341387909,-0.824380471
10/6/19,Drought-tolerant canopy,10.38008488,4.663540743,-0.505874239,-0.798191361
10/6/19,Drought-tolerant understory,4.488006369,2.092141796,-0.22826421,-0.808995417
10/7/19,Drought-sensitive canopy,179.9518125,96.01271875,-0.30062087,-0.763742231
10/7/19,Drought-sensitive understory,2.406777191,1.207359362,-0.361945757,-0.855570381
10/7/19,Drought-tolerant canopy,10.28878995,5.691178673,-0.539107575,-0.833975834
10/7/19,Drought-tolerant understory,4.546905864,1.944678057,-0.238955446,-0.859221182
10/8/19,Drought-sensitive canopy,178.3294212,89.60265435,-0.311261577,-0.790781606
10/8/19,Drought-sensitive understory,2.373859124,1.15206046,-0.382178789,-0.886102824
10/8/19,Drought-tolerant canopy,10.21249363,5.645096255,-0.571355687,-0.868117803
10/8/19,Drought-tolerant understory,4.626876623,1.815647285,-0.249161639,-0.907041294
10/9/19,Drought-sensitive canopy,176.6316878,84.38151634,-0.321430208,-0.817386983
10/9/19,Drought-sensitive understory,2.337377208,1.105978042,-0.401994238,-0.91565326
10/9/19,Drought-tolerant canopy,10.14870113,5.442333614,-0.602342471,-0.900401691
10/9/19,Drought-tolerant understory,4.723007392,1.829472011,-0.258933529,-0.952072953
10/10/19,Drought-sensitive canopy,174.8441956,79.42304812,-0.33137558,-0.843583479
10/10/19,Drought-sensitive understory,2.297611383,1.059895623,-0.421299332,-0.943897147
10/10/19,Drought-tolerant canopy,10.09491764,5.396251195,-0.63179182,-0.930611919
10/10/19,Drought-tolerant understory,4.830386917,1.714265965,-0.268321853,-0.993933362
10/11/19,Drought-sensitive canopy,172.9525283,80.66727342,-0.341346512,-0.869396208
10/11/19,Drought-sensitive understory,2.25484159,1.087545074,-0.440001303,-0.970509946
10/11/19,Drought-tolerant canopy,10.04864837,5.013767122,-0.659427632,-0.958532909
10/11/19,Drought-tolerant understory,4.944103944,2.069100586,-0.277377349,-1.032239722
10/12/19,Drought-sensitive canopy,170.9422694,78.17882282,-0.351591821,-0.894850284
10/12/19,Drought-sensitive understory,2.209347768,1.069112107,-0.458007383,-0.995167114
10/12/19,Drought-tolerant canopy,10.00739849,5.08289075,-0.684973801,-0.983949082
10/12/19,Drought-tolerant understory,5.059247221,1.981543991,-0.286150756,-1.066609234
10/13/19,Drought-sensitive canopy,168.7990023,77.58896787,-0.362360326,-0.919970822
10/13/19,Drought-sensitive understory,2.161409857,1.073720349,-0.475224801,-1.017544111
10/13/19,Drought-tolerant canopy,9.968673225,5.009158881,-0.708154223,-1.00664486
10/13/19,Drought-tolerant understory,5.170905492,2.225780809,-0.294692812,-1.096659102
10/14/19,Drought-sensitive canopy,166.5083105,79.38157395,-0.373900845,-0.944782937
10/14/19,Drought-sensitive understory,2.111307798,1.073720349,-0.491560789,-1.037316396
10/14/19,Drought-tolerant canopy,9.929977754,5.115148443,-0.728692794,-1.026404665
10/14/19,Drought-tolerant understory,5.274167506,2.354811581,-0.303054254,-1.122006526
10/15/19,Drought-sensitive canopy,164.0557776,76.54289697,-0.386462196,-0.969311742
10/15/19,Drought-sensitive understory,2.059321531,1.119802767,-0.506922576,-1.054159428
10/15/19,Drought-tolerant canopy,9.888817279,2.635914333,-0.746313408,-1.043012917
10/15/19,Drought-tolerant understory,5.364122007,2.474625868,-0.31128582,-1.142268709
10/16/19,Drought-sensitive canopy,161.4269871,74.57517771,-0.400293197,-0.993582353
10/16/19,Drought-sensitive understory,2.005730996,0.990771996,-0.521217395,-1.067748666
10/16/19,Drought-tolerant canopy,9.842696996,3.414707204,-0.760739962,-1.05625404
10/16/19,Drought-tolerant understory,5.435857743,2.410110483,-0.31943825,-1.157062852
10/17/19,Drought-sensitive canopy,158.6075224,72.713448,-0.415642666,-1.017619884
10/17/19,Drought-sensitive understory,1.950816133,1.02763793,-0.534352476,-1.07775957
10/17/19,Drought-tolerant canopy,9.789122101,3.658944021,-0.771696351,-1.065912454
10/17/19,Drought-tolerant understory,5.48446346,2.700429719,-0.32756228,-1.166006156
10/18/19,Drought-sensitive canopy,155.382218,55.73207682,-0.432759421,-1.04144945
10/18/19,Drought-sensitive understory,1.888328423,0.85252474,-0.546235049,-1.083867598
10/18/19,Drought-tolerant canopy,9.732340023,2.843285216,-0.778906469,-1.071772581
10/18/19,Drought-tolerant understory,5.520274586,2.244213776,-0.335708649,-1.168715825
10/19/19,Drought-sensitive canopy,151.6120472,66.36789899,-0.45189228,-1.065096165
10/19/19,Drought-sensitive understory,1.813478915,0.820267048,-0.556772345,-1.08574821
10/19/19,Drought-tolerant canopy,9.678103933,4.460778102,-0.782094214,-1.073618843
10/19/19,Drought-tolerant understory,5.556222774,2.792594555,-0.343928096,-1.164809059
10/20/19,Drought-sensitive canopy,147.396802,65.30339512,-0.473290061,-1.088585144
10/20/19,Drought-sensitive understory,1.728736899,0.764968146,-0.565871596,-1.083076864
10/20/19,Drought-tolerant canopy,9.626177638,3.695809956,-0.78098348,-1.071235661
10/20/19,Drought-tolerant understory,5.591291106,2.714254444,-0.352271357,-1.153903061
10/21/19,Drought-sensitive canopy,142.8362743,68.57985507,-0.497201583,-1.111941501
10/21/19,Drought-sensitive understory,1.636571666,0.718885727,-0.573440031,-1.07552902
10/21/19,Drought-tolerant canopy,9.576324948,4.340963814,-0.775298162,-1.064407457
10/21/19,Drought-tolerant understory,5.624462666,3.262635223,-0.360789171,-1.135615031
10/22/19,Drought-sensitive canopy,138.0302562,62.94858354,-0.523875663,-1.135190351
10/22/19,Drought-sensitive understory,1.539452508,0.640545616,-0.579384882,-1.062780137
10/22/19,Drought-tolerant canopy,9.528309669,4.80639624,-0.764762157,-1.052918652
10/22/19,Drought-tolerant understory,5.654720536,3.317934125,-0.369532276,-1.109562173
10/23/19,Drought-sensitive canopy,133.0785395,61.15597747,-0.553561119,-1.158356808
10/23/19,Drought-sensitive understory,1.439848715,0.635937374,-0.583613379,-1.044505674
10/23/19,Drought-tolerant canopy,9.48189561,5.363993502,-0.749099359,-1.036553669
10/23/19,Drought-tolerant understory,5.6810478,3.225769288,-0.378551411,-1.075361688
10/24/19,Drought-sensitive canopy,128.0809163,51.92566906,-0.586506769,-1.181465987
10/24/19,Drought-sensitive understory,1.340229578,0.566813746,-0.586032754,-1.02038109
10/24/19,Drought-tolerant canopy,9.43684658,5.078282508,-0.728033665,-1.015096929
10/24/19,Drought-tolerant understory,5.70242754,3.65433578,-0.387897312,-1.032630777
10/25/19,Drought-sensitive canopy,123.1371785,63.01770717,-0.622961432,-1.204543003
10/25/19,Drought-sensitive understory,1.243064389,0.548380779,-0.586550236,-0.990081844
10/25/19,Drought-tolerant canopy,9.392926385,4.414695683,-0.701288969,-0.988332853
10/25/19,Drought-tolerant understory,5.71784284,3.142820935,-0.39762072,-0.980986642
10/26/19,Drought-sensitive canopy,118.3471182,59.51544337,-0.655794843,-1.226060742
10/26/19,Drought-sensitive understory,1.150822437,0.493081877,-0.58613649,-0.959157173
10/26/19,Drought-tolerant canopy,9.349898836,5.073674266,-0.674108726,-0.960567703
10/26/19,Drought-tolerant understory,5.726276782,2.963099503,-0.404756836,-0.927202422
10/27/19,Drought-sensitive canopy,113.8105272,58.05923895,-0.679140116,-1.24491466
10/27/19,Drought-sensitive understory,1.065973015,0.442391217,-0.585969155,-0.933360655
10/27/19,Drought-tolerant canopy,9.307527739,5.396251195,-0.651466656,-0.936028486
10/27/19,Drought-tolerant understory,5.72671245,2.884759392,-0.407233155,-0.878200218
10/28/19,Drought-sensitive canopy,109.6271975,54.51089273,-0.695141137,-1.261763731
10/28/19,Drought-sensitive understory,0.990985413,0.405525282,-0.586265932,-0.91267426
10/28/19,Drought-tolerant canopy,9.265576903,4.451561618,-0.632682053,-0.914380744
10/28/19,Drought-tolerant understory,5.718132926,2.875542908,-0.406438851,-0.833820674
